,RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,TD
127,116,"Darik Dillard, RB",RICE,135,698,5.2,34,5
128,117,"Algernon Brown, RB",BYU,122,697,5.7,53,11
129,117,"Tion Green, RB",CIN,141,697,4.9,41,8
130,119,"Jasen Oden Jr., RB",CSU,146,695,4.8,42,5
131,120,"Jared Baker, RB",ARIZ,119,691,5.8,79,6
133,121,"LJ Scott, RB",MSU,140,691,4.9,38,11
134,122,"Jaylen Walton, RB",MISS,134,690,5.1,60,5
135,123,"D'Onta Foreman, RB",TEX,95,681,7.2,93,5
136,124,"Rushel Shell, RB",WVU,152,677,4.5,43,8
137,125,"Karson Roberts, QB",AFA,152,674,4.4,51,9
138,125,"Josh Hicks, RB",RUTG,130,674,5.2,31,4
139,127,"Lamar Jordan, QB",UNM,126,672,5.3,70,6
140,128,"Taquan Mizzell, RB",UVA,163,671,4.1,36,4
141,129,"Charles Jones, RB",KSU,136,656,4.8,28,5
142,130,"Marcus Marshall, RB",GT,86,654,7.6,64,4
144,131,"Phillip Lindsay, RB",COLO,140,653,4.7,37,6
145,132,"Thomas Sirk, QB",DUKE,143,648,4.5,53,6
146,133,"Dontrell Hilliard, RB",TULN,115,646,5.6,85,6
147,134,"Alvin Kamara, RB",TENN,96,645,6.7,63,6
148,135,"De'Veon Smith, RB",MICH,155,644,4.2,60,6
149,135,"Shannon Brooks, RB",MINN,104,644,6.2,75,7
150,137,"Warren Wand, RB",ARST,106,643,6.1,60,4
151,138,"Kevin Ellison, QB",GASO,101,642,6.4,67,8
152,138,"A.J. Ouellette, RB",OHIO,137,642,4.7,34,5
153,140,"Jordan Huff, RB",NIU,81,640,7.9,87,8
155,141,"Jalin Moore, RB",APP,86,635,7.4,54,5
156,142,"Xavier Jones, RB",SMU,152,634,4.2,35,10
157,143,"Kalen Ballage, RB",ASU,113,627,5.5,65,4
158,144,"Joshua Dobbs, QB",TENN,134,623,4.6,62,9
159,145,"Joe Hubener, QB",KSU,180,613,3.4,34,13
160,145,"Doroland Dorceus, RB",MEM,144,613,4.3,35,8
161,147,"Trevone Boykin, QB",TCU,123,612,5.0,69,9
162,148,"LeShun Daniels Jr., RB",IOWA,135,609,4.5,51,8
163,149,"James Gilbert, RB",BALL,152,608,4.0,34,8
164,150,"Jordan Fredericks, RB",SYR,107,607,5.7,75,4
166,RK,"Wesley Fields, RB",GASO,92,607,6.6,64,6
167,152,"D'Andre Ferby, RB",WKU,151,604,4.0,35,11
168,153,"Gerard Wicks, RB",WSU,102,599,5.9,24,3
169,154,"Greg Howell, RB",FAU,133,598,4.5,30,3
170,155,"Rodney Smith, RB",MINN,142,596,4.2,30,2
171,156,"Brandon Radcliff, RB",LOU,128,587,4.6,46,7
172,157,"J.T. Barrett, QB",OSU,92,586,6.4,40,11
173,157,"Shaq Vann, RB",EMU,100,586,5.9,74,5
174,159,"Tyler Jones, QB",TXST,139,583,4.2,66,10
175,160,"Seth Collins, QB",ORST,108,575,5.3,42,8
177,161,"Johnston White, RB",ARST,90,573,6.4,56,14
178,162,"Brandon Wilds, RB",SC,123,567,4.6,43,3
179,163,"Ke'aun Kinner, RB",KU,134,566,4.2,43,5
180,164,"Jerrod Heard, QB",TEX,139,556,4.0,45,3
181,165,"Devon Johnson, RB",MRSH,84,555,6.6,75,5
182,165,"Jojo Kemp, RB",UK,98,555,5.7,47,6
183,167,"Tyreis Thomas, RB",USA,113,552,4.9,32,2
184,168,"Paul James, RB",RUTG,99,544,5.5,72,5
185,168,"Thomas Woodson, QB",AKR,119,544,4.6,38,3
186,170,"Dak Prescott, QB",MSST,148,541,3.7,49,10
188,171,"Khalfani Muhammad, RB",CAL,78,539,6.9,74,1
189,172,"Perry Hills, QB",MD,109,535,4.9,75,3
190,173,"Shaquille Powell, RB",DUKE,122,534,4.4,30,3
191,173,"Gerald Holmes, RB",MSU,108,534,4.9,43,8
192,175,"Taj Griffin, RB",ORE,73,529,7.2,62,3
193,176,"Andrew Buie, RB",CHAR,146,527,3.6,31,1
194,177,"Ish Witter, RB",MIZ,126,518,4.1,27,1
195,178,"Jovon Robinson, RB",AUB,90,513,5.7,45,2
196,179,"Ben Luckett, RB",ULM,94,509,5.4,85,2
197,180,"Aaron Kemper, RB",ARMY,94,506,5.4,69,3
199,RK,"Lexington Thomas, RB",UNLV,81,506,6.2,40,3
200,182,"Chris Carson, RB",OKST,121,504,4.2,26,4
201,183,"Izzy Matthews, RB",CSU,85,503,5.9,39,5
202,184,"DeShone Kizer, QB",ND,119,499,4.2,79,9
203,185,"Alonzo Smith, RB",M-OH,124,498,4.0,38,5
204,186,"Daz'mond Patterson, RB",OHIO,102,497,4.9,33,9
205,187,"Taiwan Deal, RB",WIS,115,495,4.3,17,6
206,188,"Storm Barrs-Woods, RB",ORST,99,491,5.0,38,1
207,189,"Johnathan Gray, RB",TEX,123,489,4.0,46,3
208,189,"Madre London, RB",MSU,114,489,4.3,62,3
210,191,"Justin Thomas, QB",GT,145,488,3.4,60,6
211,192,"Vic Enwere, RB",CAL,98,486,5.0,42,7
212,193,"Patrick Mahomes, QB",TTU,118,484,4.1,25,10
213,194,"Skyler Howard, QB",WVU,149,479,3.2,50,6
214,195,"Donnell Alexander, RB",AKR,98,476,4.9,35,2
215,196,"Chris Warren III, RB",TEX,71,470,6.6,91,4
216,197,"LeVante Bellamy, WR",WMU,72,469,6.5,56,2
217,197,"Xzaviar Campbell, RB",UNLV,88,469,5.3,53,5
218,199,"Jordan Parker, RB",MTSU,101,468,4.6,62,6
219,199,"Ahmad Bradshaw, QB",ARMY,130,468,3.6,56,5
221,201,"Ramadi Warren, RB",TLSA,67,467,7.0,65,6
222,202,"Travis Wilson, QB",UTAH,126,466,3.7,60,6
223,202,"Clinton Lynch, RB",GT,49,466,9.5,49,5
224,204,"Akrum Wadley, RB",IOWA,74,463,6.3,65,7
225,205,"Terence Williams, RB",BAY,72,459,6.4,56,1
226,206,"Kelsey Young, RB",BSU,91,457,5.0,35,7
227,207,"Ryan Nall, RB",ORST,73,455,6.2,66,3
228,208,"Tre Madden, RB",USC,85,452,5.3,65,5
229,209,"Tyrone Swoopes, QB",TEX,74,451,6.1,46,12
230,209,"Tyler Bell, RB",WAKE,129,451,3.5,33,1
232,211,"Jeff Smith, QB",BC,71,450,6.3,80,6
233,212,"Jay Warren, RB",FAU,95,449,4.7,46,3
234,213,"Darius Tice, RB",USF,83,448,5.4,44,4
235,214,"James Summers, QB",ECU,96,446,4.6,41,8
236,215,"Mark Walton, RB",MIA,121,438,3.6,27,8
237,216,"Austin Walter, RB",RICE,75,437,5.8,32,1
238,217,"Russell Hansbrough, RB",MIZ,111,436,3.9,26,1
239,218,"Terrence Upshaw, RB",APP,79,434,5.5,52,3
240,218,"Tre Watson, RB",CAL,76,434,5.7,32,3
241,220,"Trayion Durham, RB",KENT,127,428,3.4,22,3
243,RK,"Bryant Shirreffs, QB",CONN,135,428,3.2,36,3
244,222,"Chad Kelly, QB",MISS,97,427,4.4,27,10
245,222,"DaMarcus Smith, QB",UNT,92,427,4.6,54,2
246,224,"Tyler Rouse, RB",BC,101,426,4.2,45,7
247,225,"D.J. Johnson, RB",AFA,82,425,5.2,34,6
248,226,"Devin Chafin, RB",BAY,94,422,4.5,19,8
249,227,"Baker Mayfield, QB",OKLA,131,420,3.2,39,7
250,228,"Trey Rodriguez, RB",FAU,70,419,6.0,59,5
251,229,"D.J. Knox, RB",PUR,108,409,3.8,42,2
252,229,"Hyleck Foster, WR",MRSH,86,409,4.8,66,3
254,231,"Torrey Pierce, RB",ULL,88,407,4.6,56,4
255,232,"Jalen Nixon, QB",ULL,61,406,6.7,75,5
256,233,"Damion Jones-Moore, RB",TOL,80,404,5.1,40,5
257,234,"Soso Jamabo, RB",UCLA,66,403,6.1,39,4
258,235,"Seth Russell, QB",BAY,49,402,8.2,46,6
259,236,"Riley Neal, QB",BALL,88,399,4.5,41,2
260,237,"Remi Watson, RB",MRSH,80,398,5.0,62,5
261,238,"Derrius Guice, RB",LSU,47,397,8.4,50,3
262,238,"Timothy McVey, RB",AFA,45,397,8.8,61,9
263,240,"Jamal Wilson, RB",UMASS,88,390,4.4,47,6
265,241,"Kendall Hinton, QB",WAKE,93,390,4.2,69,7
266,242,"Imani Cross, RB",NEB,96,389,4.1,38,5
267,243,"Samuel Stewart, RB",RICE,95,388,4.1,22,4
268,244,"De'Andre Mann, RB",KU,77,387,5.0,41,1
269,245,"Joe Williams, RB",UTAH,79,386,4.9,64,1
270,246,"Taylor Lamb, QB",APP,76,385,5.1,78,4
271,247,"A.J. Schurr, QB",ARMY,98,384,3.9,71,7
272,247,"Favian Upshaw, QB",GASO,68,384,5.6,48,2
273,249,"Shane Tucker, RB",MTSU,117,383,3.3,27,2
274,250,"Jeremiah Laufasa, RB",UTEP,102,381,3.7,19,1
276,251,"Akeem Judd, RB",MISS,70,378,5.4,27,3
277,251,"Desmond Anderson, RB",MTSU,83,378,4.6,20,4
278,253,"Patrick Skov, RB",GT,93,377,4.1,21,6
279,254,"Lorenzo Nunez, QB",SC,59,375,6.4,47,2
280,255,"Clayton Thorson, QB",NW,88,374,4.3,68,5
281,256,"Martez Walker, RB",CMU,106,373,3.5,45,2
282,257,"Brandon Holloway, RB",MSST,79,372,4.7,35,0
283,258,"Jeremy Cox, RB",ODU,72,369,5.1,42,1
284,259,"T.J. Logan, RB",UNC,61,368,6.0,42,5
285,260,"Jarvis Cooper, RB",MEM,87,363,4.2,26,5
287,261,"Dalton Sturm, QB",UTSA,128,361,2.8,52,1
288,262,"Albert Reid, RB",UVA,66,360,5.5,71,3
289,263,"Kani Benoit, RB",ORE,50,359,7.2,62,3
290,264,"Fredi Knighten, QB",ARST,125,358,2.9,26,4
291,265,"Ryan Jackson, RB",HOU,68,353,5.2,29,3
292,265,"Justin Silmon, RB",KSU,77,353,4.6,25,2
293,267,"Jela Duncan, RB",DUKE,54,351,6.5,52,4
294,267,"Rashaad Penny, RB",SDSU,58,351,6.1,55,4
295,267,"Eric Dungey, QB",SYR,91,351,3.9,31,5
296,270,"Kent Myers, QB",USU,76,348,4.6,39,3
298,271,"Kenyan Drake, RB",ALA,72,347,4.8,43,1
299,271,"Justin Stockton, RB",TTU,59,347,5.9,54,5
300,273,"Kenny Potter, QB",SJSU,99,346,3.5,49,6
301,274,"Christian Powell, RB",COLO,71,339,4.8,35,4
302,274,"C.J. Jones, RB",UCF,93,339,3.6,51,1
303,276,"Kody Walker, RB",ARK,79,338,4.3,28,5
304,277,"Kaylon Watson, RB",ULM,94,336,3.6,37,0
305,278,"Kyler Murray, QB",TA&M,53,335,6.3,34,1
306,279,"Glenn Smith, WR",GAST,83,334,4.0,39,1
307,280,"Bryan Driskell, RB",AFA,48,332,6.9,54,0
309,281,"Daniel Lasco, RB",CAL,65,331,5.1,22,3
310,281,"Jordan Wilkins, RB",MISS,67,331,4.9,38,3
311,281,"LaJuan Hunt, RB",USU,102,331,3.2,33,5
312,281,"Gus Ragland, QB",M-OH,57,331,5.8,40,2
313,285,"Joel Lanning, QB",ISU,94,330,3.5,24,4
314,286,"Matt Johnson, QB",CHAR,89,327,3.7,21,1
315,286,"Tony Pittman, RB",MRSH,64,327,5.1,25,3
316,288,"Adam Hine, RB",BYU,64,326,5.1,29,2
317,288,"George Morris II, RB",SYR,66,326,4.9,51,0
318,288,"Braeden West, RB",SMU,62,326,5.3,36,2
320,291,"Tommy Armstrong Jr., QB",NEB,88,324,3.7,32,6
321,292,"Kyler Neal, RB",GAST,80,323,4.0,28,5
322,292,"Shayne Davern, RB",AFA,46,323,7.0,60,4
323,294,"Warren Long, RB",NW,56,321,5.7,55,5
324,294,"Sam Craft, RB",MEM,77,321,4.2,26,5
325,294,"Shaun Wilson, RB",DUKE,75,321,4.3,58,2
326,294,"Benton Washington, RB",AFA,55,321,5.8,20,4
327,298,"Demarcus Kirk, RB",GAST,75,320,4.3,33,2
328,299,"Mikel Horton, RB",UK,82,318,3.9,21,3
329,300,"Wes Brown, RB",MD,71,317,4.5,19,3
331,301,"Reggie Gallaspy II, RB",NCST,66,316,4.8,35,4
332,302,"Jaylen Samuels, TE",NCST,53,315,5.9,66,7
333,302,"Jacques Patrick, RB",FSU,62,315,5.1,28,5
334,304,"Nate Starks, RB",UCLA,48,314,6.5,31,5
335,305,"Barry Sanders, RB",STAN,49,313,6.4,65,4
336,305,"Jahray Hayes, RB",CMU,93,313,3.4,31,4
337,307,"Kevin Hogan, QB",STAN,79,312,3.9,59,5
338,308,"DeBrandon Sanders, RB",NAVY,41,310,7.6,46,0
339,308,"Sherman Badie, RB",TULN,72,310,4.3,56,2
340,308,"Jamarius Henderson, RB",MEM,58,310,5.3,28,4
342,311,"Jeff Driskel, QB",LT,84,307,3.7,37,5
343,312,"Quentin Ezell, FB",NAVY,56,305,5.4,45,6
344,313,"Jacoby Brissett, QB",NCST,113,303,2.7,31,5
345,314,"David Williams, RB",SC,86,299,3.5,18,0
346,315,"Shon Carson, RB",SC,52,297,5.7,48,2
347,315,"Jowan Davis, RB",RICE,71,297,4.2,29,1
348,317,"Dishan Romine, RB",NAVY,31,296,9.5,55,0
349,318,"Joshua Thomas, RB",ISU,75,295,3.9,42,7
350,319,"Dustin Garrison, RB",FRES,54,294,5.4,60,2
351,319,"Tyler Stewart, QB",NEV,91,294,3.2,33,4
353,321,"Tyler Boyd, WR",PITT,35,294,8.4,37,0
354,321,"Raymond Taylor, RB",OKST,46,294,6.4,58,4
355,323,"Kurt Palandech, QB",UNLV,82,293,3.6,39,4
356,324,"Darrel Williams, RB",LSU,58,290,5.0,40,3
357,324,"Willy Ivery, RB",UNT,44,290,6.6,52,2
358,324,"D'Ernest Johnson, RB",USF,69,290,4.2,23,1
359,324,"Tyler Siudzinski, RB",TXST,59,290,4.9,62,1
360,328,"Keith Marshall, RB",UGA,54,288,5.3,20,3
361,329,"Jaquez Johnson, QB",FAU,101,286,2.8,20,2
362,329,"Donovan Lee, WR",COLO,49,286,5.8,59,3
364,331,"J.W. Walsh, QB",OKST,67,285,4.3,64,11
365,332,"Kenny Young, RB",M-OH,65,284,4.4,35,0
366,333,"Dwayne Washington, FB",WASH,47,282,6.0,69,4
367,333,"Rennie Childs, RB",OKST,69,282,4.1,35,2
368,335,"Matt Giachinta, RB",ARMY,59,281,4.8,34,1
369,336,"Akeel Lynch, RB",PSU,54,278,5.1,75,2
370,337,"Javin Webb, RB",HOU,70,277,4.0,25,4
371,338,"LaQuintus Dowell, DB",UTEP,62,276,4.5,40,2
372,338,"D.J. Foster, WR",ASU,52,276,5.3,63,1
373,338,"Jamal Morrow, RB",WSU,43,276,6.4,41,0
375,RK,"Francis Bernard, RB",BYU,45,276,6.1,40,6
376,342,"George Bollas, QB",KENT,89,275,3.1,25,1
377,343,"Antoinne Jimmerson, RB",UNT,70,272,3.9,27,1
378,343,"Patrick Carr, RB",COLO,66,272,4.1,36,1
379,345,"Terrance Timmons, RB",USA,58,271,4.7,49,1
380,346,"C.J. Beathard, QB",IOWA,87,270,3.1,57,6
381,346,"Jeremy Smith, RB",LOU,60,270,4.5,49,3
382,348,"Sefo Liufau, QB",COLO,107,266,2.5,25,5
383,349,"Trevorris Johnson, RB",TCU,43,262,6.1,29,0
384,349,"Taj McGowan, OL",UCF,85,262,3.1,15,1
386,RK,"Olamide Zaccheaus, RB",UVA,33,262,7.9,35,1
387,352,"Raekwon James, RB",KENT,76,261,3.4,50,0
388,353,"Myles Willis, RB",BC,67,259,3.9,45,0
389,354,"Keion Davis, RB",MRSH,63,258,4.1,23,2
390,355,"Aaron Duckworth, RB",IDHO,72,256,3.6,31,3
391,355,"Tom Flacco, QB",WMU,26,256,9.8,37,2
392,357,"Darrin Hall, RB",PITT,61,255,4.2,35,2
393,358,"Rawleigh Williams, RB",ARK,56,254,4.5,44,1
394,359,"Chris James, RB",PITT,56,253,4.5,48,0
395,360,"Drew Hare, QB",NIU,104,252,2.4,16,1
397,361,"John Trainor, RB",ARMY,29,252,8.7,30,2
398,362,"Mitch Leidner, QB",MINN,98,251,2.6,33,5
399,363,"Kyle Hicks, RB",TCU,49,250,5.1,23,3
400,363,"Darrius Sims, WR",VAN,43,250,5.8,41,1
401,363,"Garrett Smith, QB",ULM,108,250,2.3,28,2
402,363,"Ty Johnson, RB",MD,35,250,7.1,44,3
403,367,"Andre Flakes, RB",TROY,66,243,3.7,47,3
404,367,"Anthony Jones, WR",FIU,48,243,5.1,26,2
405,369,"Daniel Hamm, RB",UVA,57,242,4.2,53,1
406,369,"Jalen Rhodes, RB",UTSA,60,242,4.0,16,3
408,371,"Marcus Outlow, RB",BC,53,241,4.5,32,1
409,372,"Paxton Lynch, QB",MEM,82,240,2.9,23,2
410,372,"Taz Bateman, RB",GAST,47,240,5.1,24,1
411,374,"Matt Colburn, RB",WAKE,66,239,3.6,21,1
412,375,"Tony Brooks-James, RB",ORE,29,238,8.2,29,2
413,376,"Braxton Miller, WR",OSU,40,234,5.9,53,1
414,376,"Andy Janovich, FB",NEB,36,234,6.5,55,2
415,376,"Matt Linehan, QB",IDHO,91,234,2.6,34,5
416,376,"Ervin Philips, RB",SYR,41,234,5.7,31,3
417,380,"Rob Kelley, RB",TULN,65,232,3.6,43,1
419,RK,"Roc Thomas, RB",AUB,38,232,6.1,56,1
420,382,"Taylor Cox, RB",KU,79,231,2.9,26,2
421,383,"Jarred Craft, RB",LT,58,230,4.0,17,1
422,384,"Bryce Love, RB",STAN,28,228,8.1,48,2
423,385,"Sam Rogers, FB",VT,55,227,4.1,29,1
424,386,"Keith Harrington, RB",WSU,34,226,6.6,36,2
425,387,"Brenden Motley, QB",VT,88,224,2.5,22,3
426,388,"Garrett Brown, WR",AFA,29,220,7.6,63,1
427,389,"Melvin Davis, RB",HAW,59,218,3.7,18,6
428,390,"Ron Johnson, RB",CONN,87,216,2.5,29,4
430,391,"Drake Johnson, RB",MICH,48,213,4.4,20,3
431,392,"Michael Adkins II, RB",COLO,42,212,5.0,21,3
432,393,"Zac Brooks, RB",CLEM,37,211,5.7,35,3
433,393,"Eugene Brazley, RB",MISS,18,211,11.7,78,3
434,393,"Kilton Anderson, QB",FRES,51,211,4.1,35,5
435,396,"Remound Wright, RB",STAN,77,209,2.7,22,13
436,396,"Aaron Jones, RB",UTEP,32,209,6.5,91,1
437,398,"Nathan Peterman, QB",PITT,83,208,2.5,28,1
438,399,"Josh Rounds, RB",TULN,35,207,5.9,46,1
439,399,"Anthony Scott, RB",ECU,49,207,4.2,29,1
441,401,"Richard McQuarley, RB",UNM,44,207,4.7,44,7
442,402,"Maurice Thomas, RB",M-OH,18,206,11.4,77,0
443,403,"Ty Isaac, RB",MICH,30,205,6.8,76,1
444,404,"DeVontae McNeal, RB",ULM,56,204,3.6,43,2
445,404,"Dorian Brown, RB",OHIO,40,204,5.1,43,0
446,404,"Kavika Johnson, QB",UTEP,73,204,2.8,21,1
447,407,"Shadrach Thornton, RB",NCST,30,203,6.8,39,3
448,407,"Joe Walker, RB",ARMY,27,203,7.5,63,1
449,407,"Logan Moragne, RB",ARST,20,203,10.2,58,1
450,410,"Ashton Shumpert, RB",MSST,54,201,3.7,20,1
452,411,"Bolu Olorunfunmi, RB",UCLA,34,200,5.9,37,0
453,412,"Demond Brown, RB",NAVY,28,199,7.1,32,4
454,413,"Jeremiah Bryson, RB",MTSU,46,198,4.3,28,3
455,413,"Jon Hilliman, RB",BC,51,198,3.9,21,2
456,413,"Maleek Irons, RB",OHIO,33,198,6.0,44,4
457,413,"Jordan Asberry, RB",ARMY,25,198,7.9,31,0
458,417,"Andrew Allen, WR",NMSU,75,197,2.6,35,0
459,418,"Tyrell Clay, RB",UTSA,42,196,4.7,31,3
460,419,"Justice Hayes, RB",USM,45,195,4.3,35,2
461,420,"Cardale Jones, QB",OSU,64,193,3.0,38,2
463,421,"Brice Dolezal, RB",TA&M,38,191,5.0,33,1
464,422,"JD Sprague, QB",OHIO,42,190,4.5,16,0
465,423,"James White, RB",TA&M,50,189,3.8,24,1
466,423,"Treon Harris, QB",FLA,84,189,2.3,25,0
467,425,"Steven Lakalaka, RB",HAW,48,187,3.9,20,0
